20,19,21,15,17,22,23,16,12,24,13,28,25,14,27,31,26,30,9,10,11,29,32,37,5,6,33,38,36,8,3,4,34,35,7,39,1,40,41,0,42,2,18
18,20,21,15,13,23,17,22,12,16,14,24,31,25,28,9,11,27,26,5,30,10,4,32,6,3,37,29,8,33,36,38,7,34,1,35,0,2,39,40,41,42,19
18,19,21,28,15,31,17,23,16,27,24,30,22,37,25,12,13,32,29,14,26,38,36,33,9,10,11,34,35,39,41,40,6,5,8,4,42,3,7,1,0,2,20
22,23,18,24,20,25,19,26,27,15,14,31,28,16,30,12,32,13,17,29,9,33,10,37,5,38,36,35,11,34,8,6,3,4,39,7,40,1,42,41,0,2,21
21,23,14,18,24,26,19,25,12,13,15,20,16,27,5,17,31,28,32,9,30,29,8,10,6,3,11,4,33,7,37,1,35,38,34,36,0,2,39,40,42,41,22
21,22,24,18,31,19,20,26,32,30,27,25,28,15,14,29,16,33,12,13,17,34,37,36,35,38,9,5,10,11,39,40,8,6,3,42,4,41,7,1,0,2,23
25,26,21,27,29,23,28,22,30,18,32,16,20,31,15,14,19,12,33,35,38,17,13,36,37,34,10,9,8,5,11,6,39,42,3,40,41,7,4,1,0,2,24
24,26,21,16,27,14,29,22,28,15,18,12,23,20,30,10,32,17,9,19,31,13,8,38,33,6,35,11,36,5,37,3,34,7,4,39,1,42,0,41,40,2,25
24,25,21,27,32,22,29,23,30,28,31,18,14,20,33,16,35,15,19,12,34,38,36,13,37,17,10,9,8,5,39,6,42,11,40,3,41,4,7,1,0,2,26
28,29,30,24,26,31,32,25,33,21,38,20,35,23,36,18,16,37,34,22,15,19,39,14,17,12,42,40,41,10,13,9,11,8,6,5,3,7,4,1,0,2,27
27,29,38,20,24,30,16,31,25,37,36,18,21,33,15,26,32,23,35,17,19,34,22,39,12,14,41,42,10,40,13,9,11,8,6,5,7,3,4,1,0,2,28
27,28,24,30,35,25,26,38,33,32,36,31,21,16,34,37,20,23,18,42,39,22,15,14,41,40,12,19,17,10,9,13,8,11,6,5,7,3,4,1,0,2,29
31,32,27,33,34,29,28,35,36,24,37,23,26,38,21,20,25,18,39,40,42,22,16,19,15,41,17,14,12,13,10,9,11,8,5,6,3,4,7,1,0,2,30
30,32,27,33,23,20,37,28,34,36,21,24,18,29,35,38,26,19,22,25,39,40,15,16,42,41,17,12,14,13,9,10,11,5,6,8,3,4,7,1,0,2,31
30,31,33,27,26,34,35,24,23,29,21,28,36,25,37,38,20,22,18,39,40,42,19,16,15,14,41,12,17,13,10,9,5,8,11,6,3,4,7,1,0,2,32
35,34,36,30,32,38,37,31,39,27,29,42,40,28,41,24,26,20,23,21,25,18,16,22,15,19,17,14,12,13,10,9,11,8,6,5,3,7,4,1,0,2,33
33,35,30,36,40,32,31,39,37,42,38,27,41,29,28,23,24,26,20,21,18,25,22,19,16,15,17,14,12,13,10,9,11,8,5,6,3,4,7,1,0,2,34
33,34,36,30,29,42,32,38,39,27,40,31,37,28,41,24,26,25,23,21,20,18,16,22,15,19,14,17,12,10,13,9,8,11,6,5,3,7,4,1,0,2,35
37,38,33,39,34,35,41,42,40,30,28,31,27,29,32,20,24,23,26,21,25,18,16,15,19,17,22,12,14,10,13,9,11,8,6,5,7,3,4,1,0,2,36
36,38,33,39,31,41,40,30,34,28,27,20,35,42,29,32,24,18,23,21,16,25,15,19,26,17,22,12,14,13,10,9,11,6,8,5,4,3,7,1,0,2,37
36,37,28,33,39,35,29,41,42,27,30,34,40,31,32,20,24,16,25,26,21,18,23,15,17,19,22,12,14,10,9,13,11,8,6,5,7,3,4,1,0,2,38
40,42,41,36,38,37,33,34,35,30,31,28,29,27,32,20,24,23,26,21,25,18,16,15,19,17,22,12,14,10,13,9,11,8,6,5,7,3,4,1,0,2,39
39,41,42,36,34,37,33,35,38,30,31,32,28,27,29,20,24,23,26,21,18,25,16,19,15,17,22,12,14,13,10,9,11,8,6,5,3,4,7,1,0,2,40
39,40,42,36,38,37,33,34,35,28,30,31,29,27,32,20,24,16,18,25,23,21,26,15,17,19,22,12,10,14,9,13,11,6,8,7,5,3,4,1,0,2,41
39,41,40,36,35,38,33,34,37,30,29,27,28,32,31,24,20,26,25,23,21,16,18,15,22,19,17,14,12,10,13,9,11,8,6,5,7,3,4,1,0,2,42
