Group,IsPFAS(haveCF2),Compound name,Code,Solvent_used_for_NMR,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
,False,1-fluorobutan-2-one,From_Review_74,CDCl3,CCC(=O)CF,,0.0,,,,,,-228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoro-2-phenylacetaldehyde,From_Review_75,CDCl3,O=CC(F)c1ccccc1,,0.0,,,,-191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluoro-1-phenylpropan-2-one,From_Review_76,CDCl3,CC(=O)C(F)c1ccccc1,,0.0,,,,,-183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,3-fluorobutan-2-one,From_Review_77,CDCl3,CC(=O)C(C)F,,0.0,,,,,,-190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,5-fluorooctan-4-one,From_Review_78,CDCl3,CCCC(=O)C(F)CCC,,0.0,,,,,,,-193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluorocyclohexan-1-one,From_Review_79,CDCl3,O=C1CCCCC1F,,0.0,,,,,,,,-188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluorocyclopentan-1-one,From_Review_80,CDCl3,O=C1CCCC1F,,0.0,,,,,,,-194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoro-2-methylpentane,From_Review_81,CDCl3,CCCC(C)(C)F,,0.0,,,,,,,-137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoro-2-methyl-1-phenylpropan-1-one,From_Review_82,CDCl3,CC(C)(F)C(=O)c1ccccc1,,0.0,,,,-144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(1-fluorohexyl)benzene,From_Review_83,CDCl3,CCCCCC(F)c1ccccc1,,0.0,,,,,,,-174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,4-fluoro-4-phenylbutan-2-one,From_Review_84,CDCl3,CC(=O)CC(F)c1ccccc1,,0.0,,,,,,-174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,4-fluoro-4-methylpentan-2-one,From_Review_85,CDCl3,CC(=O)CC(C)(C)F,,0.0,,,,,,,,-134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,4-bromo-4-fluorobutan-2-one,From_Review_86,CDCl3,CC(=O)CC(F)Br,,0.0,,,,,,-135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoroacetate,From_Review_87,CDCl3,CCOC(=O)CF,,0.0,,,,,,,-230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 3-fluoropropanoate,From_Review_88,CDCl3,CCOC(=O)CCF,,0.0,,,,,,,,-220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoropropanoate,From_Review_89,CDCl3,CCOC(=O)C(C)F,,0.0,,,,,,,,-185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluorobutanoate,From_Review_90,CDCl3,CCOC(=O)C(F)CC,,0.0,,,,,,,-194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,"2-fluoro-N,N-dimethylbutanamide",From_Review_91,CDCl3,CCC(F)C(=O)N(C)C,,0.0,,,,-187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-2-phenylacetate,From_Review_92,CDCl3,CCOC(=O)C(F)c1ccccc1,,0.0,,,,,,,-180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 3-fluoro-3-phenylpropanoate,From_Review_93,CDCl3,CCOC(=O)CC(F)c1ccccc1,,0.0,,,,,,,,-173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(1-fluorohexyl)benzene,From_Review_94,CDCl3,CCCCCC(F)c1ccccc1,,0.0,,,,,,,-170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-2-methylpropanoate,From_Review_95,CDCl3,CCOC(=O)C(C)(C)F,,0.0,,,,,,,,,-148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-bromo-2-fluoroacetate,From_Review_96,CDCl3,CCOC(=O)C(F)Br,,0.0,,,,,,,-151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-ethoxy-2-fluoroacetate,From_Review_97,CDCl3,CCOC(=O)C(F)OCC,,0.0,,,,,,,-133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-2-phenoxyacetate,From_Review_98,CDCl3,CCOC(=O)C(F)Oc1ccccc1,,0.0,,,,,,,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-(ethylthio)-2-fluoroacetate,From_Review_99,CDCl3,CCOC(=O)C(F)SCC,,0.0,,,,,,,-163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-2-(phenylthio)acetate,From_Review_100,CDCl3,CCOC(=O)C(F)Sc1ccccc1,,0.0,,,,,,,-159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,"ethyl 2,2-dibromo-2-fluoroacetate",From_Review_101,CDCl3,CCOC(=O)C(F)(Br)Br,,0.0,,,,,,,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-bromo-2-fluoro-2-phenoxyacetate,From_Review_102,CDCl3,CCOC(=O)C(F)(Br)Oc1ccccc1,,0.0,,,,,,,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-bromo-2-(ethylthio)-2-fluoroacetate,From_Review_103,CDCl3,CCOC(=O)C(F)(Br)SCC,,0.0,,,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-bromo-2-fluoro-2-(phenylthio)acetate,From_Review_104,CDCl3,CCOC(=O)C(F)(Br)Sc1ccccc1,,0.0,,,,,,,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-3-oxobutanoate,From_Review_105,CDCl3,CCOC(=O)C(F)C(C)=O,,0.0,,,,,,,-194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-fluoro-3-oxo-3-phenylpropanoate,From_Review_106,CDCl3,CCOC(=O)C(F)C(=O)c1ccccc1,,0.0,,,,,,,-191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,diethyl 2-fluoromalonate,From_Review_107,CDCl3,CCOC(=O)C(F)C(=O)OCC,,0.0,,,,,,,-196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoropropanenitrile,From_Review_108,CDCl3,CC(F)C#N,,0.0,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoroacetonitrile,From_Review_109,CDCl3,N#CCF,,0.0,,,,-232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluorodecanenitrile,From_Review_110,CDCl3,CCCCCCCCC(F)C#N,,0.0,,,,,,,,,,-179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoro-2-phenylacetonitrile,From_Review_111,CDCl3,N#CC(F)c1ccccc1,,0.0,,,,-168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoro-2-(naphthalen-2-yl)acetonitrile,From_Review_112,CDCl3,N#CC(F)c1ccc2ccccc2c1,,0.0,,,,-167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,fluoroethene,From_Review_113,CDCl3,C=CF,,0.0,,,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(E)-1-fluoroprop-1-ene,From_Review_114,CDCl3,C/C=C/F,,1.0,,,,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(E)-1-fluorohex-1-ene,From_Review_115,CDCl3,CCCC/C=C/F,,1.0,,,,,,,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(Z)-1-fluoroprop-1-ene,From_Review_116,CDCl3,C/C=C\F,,1.0,,,,-131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(Z)-1-fluorohex-1-ene,From_Review_117,CDCl3,CCCC/C=C\F,,1.0,,,,,,,-131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(E)-1-fluoro-2-methyltridec-1-ene,From_Review_118,CDCl3,CCCCCCCCCCC/C(C)=C/F,,1.0,,,,,,,,,,,,,,,-137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoroprop-1-ene,From_Review_119,CDCl3,C=C(C)F,,1.0,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(Z)-7-fluorotetradec-7-ene,From_Review_120,CDCl3,CCCCCC/C=C(\F)CCCCCC,,1.0,,,,,,,,,-111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(E)-7-fluorotetradec-7-ene,From_Review_121,CDCl3,CCCCCC/C=C(/F)CCCCCC,,1.0,,,,,,,,,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluorocyclohex-1-ene,From_Review_122,CDCl3,FC1=CCCCC1,,1.0,-101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluorocyclopent-1-ene,From_Review_123,CDCl3,FC1=CCCC1,,1.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluorocyclobut-1-ene,From_Review_124,CDCl3,FC1=CCC1,,1.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
