,Group,IsPFAS(haveCF2),CAS,Compound name,Code,Solvent_used_for_NMR,Source,Note,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
156,Polyfluorinated alcohols,TRUE,,6:2 Fluorotelomer alcohol,alcohols_12,CD3OD,JHM,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-114.72,-114.72,,-122.96,-122.96,,-123.95,-123.95,,-124.83,-124.83,,-127.37,-127.37,,-82.47,-82.47,-82.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Polyfluorinated alcohols,TRUE,,8:2 Fluorotelomer alcohol,alcohols_13,CD3OD,JHM,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-114.66,-114.66,,-122.71,-122.71,,-122.71,-122.71,,-122.92,-122.92,,-123.75,-123.75,,-124.75,-124.75,,-127.28,-127.28,,-82.38,-82.38,-82.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Polyfluorinated alcohols,TRUE,,10:2 Fluorotelomer alcohol,alcohols_14,CD3OD,JHM,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-114.67,-114.67,,-122.7,-122.7,,-122.7,-122.7,,-122.7,-122.7,,-122.7,-122.7,,-122.85,-122.85,,-123.7,-123.7,,-124.75,-124.75,,-127.27,-127.27,,-82.36,-82.36,-82.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Other fluorinated compounds,TRUE,,Perfluorooctanephosphonic acid,other_10,CD3OD,JHM,,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,-116.42,-116.42,,-122.93,-122.93,,-123.9,-123.9,,-124.51,-124.51,,-127.34,-127.34,,-82.43,-82.43,-82.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Other fluorinated compounds,TRUE,,Perfluorododecylphosphonic acid,other_11,CD3OD,JHM,,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,-116.4,-116.4,,-122.69,-122.69,,-122.83,-122.83,,-122.83,-122.83,,-122.83,-122.83,,-122.83,-122.83,,-123.69,-123.69,,-124.45,-124.45,,-127.26,-127.26,,-82.36,-82.36,-82.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Other fluorinated compounds,TRUE,,Perfluoro-1-octanesulfonamide,other_12,CD3OD,JHM,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-115.11,-115.11,,-121.33,-121.33,,-122.7,-122.7,,-122.91,-122.91,,-123.7,-123.7,,-123.7,-123.7,,-127.29,-127.29,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Other fluorinated compounds,TRUE,,N-methyl perfluorooctanesulfonamidoacetic acid,other_13,CD3OD,JHM,,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,,,,-113.75,-113.75,,-121.4,-121.4,,-122.59,-122.59,,-122.72,-122.72,,-122.89,-122.89,,-123.71,-123.71,,-127.27,-127.27,,-82.36,-82.36,-82.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Other fluorinated compounds,TRUE,,N-ethyl perfluorooctanesulfonamidoacetic acid,other_14,CD3OD,JHM,,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,,,,,-114,-114,,-121.29,-121.29,,-122.58,-122.58,,-122.73,-122.73,,-122.89,-122.89,,-123.71,-123.71,,-127.26,-127.26,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,None-PFAS,FALSE,,1-Chloro-2-fluoroethane,From_Review_1,CDCl3,,,FCCCl,,0,-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,FALSE,,fluoroethane,From_Review_2,CDCl3,,,CCF,,0,,,-212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
